trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
238,False,"{'a': 0.09348072627805847, 'e': 0.09348072627805847}",20,12,16.209030558896384,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.09255057751034329, 'e': 0.09255057751034329}",20,6,23.944930896677956,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.09162968387750484, 'e': 0.09162968387750484}",20,11,19.64583491860001,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.09071795328941251, 'e': 0.09071795328941251}",20,15,6.488365546071548,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.08981529457224763, 'e': 0.08981529457224763}",30,3,45.470455014497006,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.08892161745938634, 'e': 0.08892161745938634}",25,17,17.00839567653729,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.08803683258237255, 'e': 0.08803683258237255}",30,14,27.26388050267127,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.0871608514619813, 'e': 0.0871608514619813}",25,3,24.713289355711133,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.0862935864993705, 'e': 0.0862935864993705}",20,0,25.596142437408755,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
247,False,"{'a': 0.08543495096732123, 'e': 0.08543495096732123}",35,27,15.653459849443632,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.08458485900156469, 'e': 0.08458485900156469}",25,0,-15.655569754906379,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
249,False,"{'a': 0.08374322559219596, 'e': 0.08374322559219596}",20,0,30.18449690226703,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.08290996657517266, 'e': 0.08290996657517266}",25,16,14.301148912499555,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.0820849986238988, 'e': 0.0820849986238988}",20,5,20.69500110571967,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.08126823924089167, 'e': 0.08126823924089167}",20,12,16.88093810121913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.08045960674953244, 'e': 0.08045960674953244}",20,15,9.928179223324378,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.07965902028589801, 'e': 0.07965902028589801}",20,13,12.899250624141946,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.07886639979067495, 'e': 0.07886639979067495}",30,4,42.91547975207533,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.07808166600115313, 'e': 0.07808166600115313}",20,13,13.130297258634641,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.07730474044329974, 'e': 0.07730474044329974}",25,17,12.723344197661216,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.07653554542391151, 'e': 0.07653554542391151}",30,18,21.130309014190065,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.07577400402284548, 'e': 0.07577400402284548}",20,16,7.612310740805699,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
